,기준년월,광역시도명,광역시도코드,남성_유동인구_수,여성_유동인구_수
0,2022-01,광주광역시,2071296,185080268.59246117,184040834.83442786
1,2022-01,대구광역시,2832408,230978219.89836097,234148566.25210664
2,2022-01,대전광역시,1763280,193551194.86322498,188143514.81151357
3,2022-01,부산광역시,3965520,352546132.3362472,355963096.5238652
4,2022-01,세종특별자치시,535680,42091417.478105344,40929498.75085966
5,2022-01,울산광역시,1291584,123746050.64278828,108907990.0736444
6,2022-01,인천광역시,3228960,236424680.4948492,219802713.48915327
7,2022-02,광주광역시,1870848,167984779.24707407,166888394.18124563
8,2022-02,대구광역시,2558304,205837446.5937776,208476094.2769305
9,2022-02,대전광역시,1592640,176454101.64610946,171214583.6484338
10,2022-02,부산광역시,3581760,309295847.58220786,311996516.29562026
11,2022-02,세종특별자치시,483840,39021096.87061905,37710509.717255466
12,2022-02,울산광역시,1166592,108113701.60992861,94977767.16676235
13,2022-02,인천광역시,2916480,213319142.0066467,197735110.86605436
14,2022-03,광주광역시,2071296,185243821.20669055,185641056.60232067
15,2022-03,대구광역시,2832408,231267891.9838267,236436049.3703626
16,2022-03,대전광역시,1763280,197236447.07040003,191345415.68736473
17,2022-03,부산광역시,3965520,341306033.70991516,344775003.52737087
18,2022-03,세종특별자치시,535680,43376032.531813726,42461948.41502558
19,2022-03,울산광역시,1291584,119299442.34567279,104189018.57645082
20,2022-03,인천광역시,3228960,242194494.1747789,223481583.94578755
21,2022-04,광주광역시,2004480,180337622.31795326,179173487.66171983
22,2022-04,대구광역시,2741040,230267209.64663452,232638594.7748527
23,2022-04,대전광역시,1706400,192672793.92735708,186124914.62611535
24,2022-04,부산광역시,3837600,347682766.34567565,347244049.4449747
25,2022-04,세종특별자치시,518400,41230666.707137495,40265081.24751318
26,2022-04,울산광역시,1249920,121629938.40233454,104573970.08660913
27,2022-04,인천광역시,3124800,242377267.472306,223278690.40101779
28,2022-05,광주광역시,2071296,184242568.43587157,183385171.15054876
29,2022-05,대구광역시,2832408,236563529.7893799,239753235.56964928
30,2022-05,대전광역시,1763280,197252010.16552535,190752928.33804858
31,2022-05,부산광역시,3965520,357444506.5082065,359092804.42320025
32,2022-05,세종특별자치시,535680,42611520.702537976,41490601.39894699
33,2022-05,울산광역시,1291584,122709005.35000038,106242815.91655572
34,2022-05,인천광역시,3228960,251858032.50602892,231708166.06131923
35,2022-06,광주광역시,2004480,183595847.39209098,182970272.45330256
36,2022-06,대구광역시,2741040,232475620.64079154,235774388.67004806
37,2022-06,대전광역시,1706400,195769716.3880288,190351353.50865516
38,2022-06,부산광역시,3837600,349278811.6876016,351634846.19308823
39,2022-06,세종특별자치시,518400,42458747.8380693,41732332.527608044
40,2022-06,울산광역시,1249920,120313714.82993348,103772225.4759288
41,2022-06,인천광역시,3124800,244134371.83704495,225583422.51543742
42,2022-07,광주광역시,2071296,186676351.20698375,185525050.13575146
43,2022-07,대구광역시,2832408,261929061.95653427,263967278.46365112
44,2022-07,대전광역시,1763280,196660157.79860204,189904705.12548387
45,2022-07,부산광역시,3961230,345305104.5167405,346522156.48692584
46,2022-07,세종특별자치시,535680,43787293.87044379,42683811.44376006
47,2022-07,울산광역시,1291584,123022316.42436156,105777802.87054582
48,2022-07,인천광역시,3228960,247955175.49380246,227350251.9523818
49,2022-08,광주광역시,2071296,183535922.59792432,181628013.63617992
50,2022-08,대구광역시,2832408,309590126.6356792,311575055.01755035
51,2022-08,대전광역시,1763280,196216448.7171719,188941571.55053216
52,2022-08,부산광역시,3965520,346363687.32415503,347476703.5606618
53,2022-08,세종특별자치시,535680,44540501.07599282,43844105.119068384
54,2022-08,울산광역시,1291584,119701075.25569187,103024704.50621927
55,2022-08,인천광역시,3228960,244787864.81784952,224289013.67706156
56,2022-09,광주광역시,1990560,162803151.11406773,161019441.63424736
57,2022-09,대구광역시,2722005,245410947.2213061,244561654.67761222
58,2022-09,대전광역시,1694550,176543977.37852415,168881679.24407917
59,2022-09,부산광역시,3810950,307794542.5877501,306036236.72534317
60,2022-09,세종특별자치시,514800,38773581.54768052,37518776.30690689
61,2022-09,울산광역시,1241240,105395721.82299908,89957006.27104509
62,2022-09,인천광역시,3103100,224969133.95522714,205219798.68060654
63,2022-10,광주광역시,2071296,186594878.68491897,186138055.13716835
64,2022-10,대구광역시,2832408,310527640.5431505,311787065.4600312
65,2022-10,대전광역시,1763280,204844346.81166035,197236658.79347995
66,2022-10,부산광역시,3965520,341588827.3823281,343683208.97762
