,시도별,년도,현원,구인인원,채용인원,미충원인원,부족인원,채용계획인원
0,강원,2021,841790.0,58644.0,52987.0,5657.0,28775.0,32299.0
1,강원,2022,876035.0,86777.0,76701.0,10076.0,40688.0,42748.0
2,강원,2023,883101.0,86474.0,78392.0,8082.0,31488.0,36072.0
3,경기,2021,8373506.0,516381.0,456268.0,60113.0,281136.0,284018.0
4,경기,2022,8858265.0,596443.0,499657.0,96786.0,377526.0,379763.0
5,경기,2023,9101861.0,599772.0,515893.0,83879.0,310324.0,309520.0
6,경남,2021,1899240.0,103575.0,90338.0,13237.0,41975.0,41731.0
7,경남,2022,1978065.0,109668.0,90217.0,19451.0,62053.0,61091.0
8,경남,2023,2012985.0,110952.0,93821.0,17131.0,53832.0,53349.0
9,경북,2021,1538814.0,119669.0,106144.0,13525.0,42197.0,44224.0
10,경북,2022,1595841.0,132114.0,111238.0,20876.0,55164.0,57988.0
11,경북,2023,1604267.0,123664.0,106663.0,17001.0,48384.0,51599.0
12,광주,2021,911356.0,61799.0,57062.0,4737.0,21522.0,22293.0
13,광주,2022,943803.0,70760.0,63015.0,7745.0,29230.0,28939.0
14,광주,2023,967731.0,70996.0,65882.0,5114.0,23508.0,24759.0
15,대구,2021,1293173.0,87968.0,81242.0,6726.0,26457.0,32037.0
16,대구,2022,1335638.0,105343.0,93996.0,11347.0,38977.0,42933.0
17,대구,2023,1361603.0,109116.0,100855.0,8261.0,31571.0,34074.0
18,대전,2021,930135.0,63155.0,57541.0,5614.0,26679.0,32753.0
19,대전,2022,967989.0,80015.0,71181.0,8834.0,33561.0,36183.0
20,대전,2023,1019652.0,94816.0,87988.0,6828.0,31436.0,31407.0
21,부산,2021,2094179.0,131679.0,117342.0,14337.0,47324.0,49967.0
22,부산,2022,2153212.0,141478.0,124926.0,16552.0,56033.0,55440.0
23,부산,2023,2189105.0,135456.0,121655.0,13801.0,52207.0,52314.0
24,서울,2021,8672105.0,589547.0,519881.0,69666.0,244733.0,250601.0
25,서울,2022,9044904.0,690226.0,592013.0,98213.0,305481.0,310001.0
26,서울,2023,9192426.0,707093.0,624339.0,82754.0,283946.0,281940.0
27,세종,2021,169104.0,11352.0,10093.0,1259.0,5926.0,8462.0
28,세종,2022,183032.0,15989.0,14260.0,1729.0,8752.0,8940.0
29,세종,2023,195741.0,20194.0,18738.0,1456.0,6392.0,6452.0
30,울산,2021,776088.0,34662.0,32071.0,2591.0,10095.0,11840.0
31,울산,2022,799207.0,39655.0,34739.0,4916.0,18890.0,19366.0
32,울산,2023,804945.0,45898.0,42100.0,3798.0,21724.0,22405.0
33,인천,2021,1646274.0,91683.0,85223.0,6460.0,42840.0,45180.0
34,인천,2022,1708344.0,108015.0,96627.0,11388.0,54493.0,55038.0
35,인천,2023,1769741.0,112652.0,101121.0,11531.0,52917.0,53754.0
36,전국,2021,34047966.0,2204684.0,1965799.0,238885.0,962690.0,1022832.0
37,전국,2022,35554586.0,2577415.0,2206756.0,370659.0,1278001.0,1302605.0
38,전국,2023,36314369.0,2622249.0,2314997.0,307252.0,1115474.0,1131370.0
39,전남,2021,1044766.0,60009.0,54557.0,5452.0,25582.0,27010.0
40,전남,2022,1091600.0,72997.0,62441.0,10556.0,38008.0,37942.0
41,전남,2023,1116778.0,74638.0,66512.0,8126.0,32762.0,33144.0
42,전북,2021,961442.0,60182.0,54093.0,6089.0,25885.0,29291.0
43,전북,2022,988144.0,67487.0,59606.0,7881.0,30030.0,30647.0
44,전북,2023,996248.0,73908.0,67384.0,6524.0,28217.0,28530.0
45,제주,2021,352997.0,20449.0,17482.0,2967.0,12214.0,12447.0
46,제주,2022,367441.0,27454.0,22824.0,4630.0,15681.0,15666.0
47,제주,2023,370751.0,29261.0,24573.0,4688.0,16457.0,18150.0
48,충남,2021,1447667.0,101117.0,91442.0,9675.0,45354.0,56591.0
49,충남,2022,1508937.0,115042.0,98212.0,16830.0,60400.0,60519.0
50,충남,2023,1553025.0,135701.0,122805.0,12896.0,49923.0,51472.0
51,충북,2021,1095331.0,92814.0,82034.0,10780.0,33997.0,42090.0
52,충북,2022,1154129.0,117953.0,95104.0,22849.0,53034.0,59399.0
53,충북,2023,1174407.0,91659.0,76276.0,15383.0,40385.0,42428.0
54,강원,2013,210735.0,16163.0,14179.0,1984.0,7693.0,
55,강원,2014,215130.0,15702.0,13720.0,1982.0,5917.0,8982.0
56,강원,2015,221359.0,14311.0,12503.0,1808.0,6005.0,8146.0
57,강원,2016,232690.0,16528.0,14968.0,1560.0,5858.0,8949.0
58,강원,2017,243612.0,16124.0,14389.0,1735.0,5593.0,10572.0
59,강원,2018,251514.0,18606.0,17097.0,1509.0,6762.0,10204.0
60,강원,2019,266829.0,19777.0,18271.0,1506.0,8525.0,9191.0
61,강원,2020,281078.0,18920.0,17000.0,1920.0,6750.0,6302.0
62,강원,2021,286598.0,20615.0,18976.0,1639.0,6865.0,7307.0
63,경기,2013,2256866.0,158523.0,134391.0,24132.0,76707.0,
64,경기,2014,2307140.0,162663.0,138323.0,24340.0,78639.0,78753.0
65,경기,2015,2442233.0,164171.0,144447.0,19724.0,67010.0,69484.0
66,경기,2016,2578430.0,162537.0,140557.0,21980.0,69238.0,73943.0
67,경기,2017,2670729.0,178690.0,149787.0,28903.0,82328.0,90038.0
68,경기,2018,2755663.0,176370.0,152089.0,24281.0,87699.0,86629.0
69,경기,2019,2916089.0,197290.0,174560.0,22730.0,84917.0,94192.0
70,경기,2020,2989301.0,163269.0,145443.0,17826.0,67803.0,70265.0
71,경기,2021,3007563.0,153749.0,138585.0,15164.0,70034.0,70958.0
72,경남,2013,669268.0,43690.0,35316.0,8374.0,23724.0,
73,경남,2014,680928.0,36528.0,27030.0,9498.0,19106.0,25172.0
74,경남,2015,711104.0,41592.0,33750.0,7842.0,18381.0,19629.0
75,경남,2016,723753.0,39807.0,31295.0,8512.0,16878.0,22208.0
76,경남,2017,732641.0,40927.0,33690.0,7237.0,15613.0,16343.0
77,경남,2018,723494.0,33557.0,27666.0,5891.0,13383.0,13276.0
78,경남,2019,709215.0,36777.0,30445.0,6332.0,13313.0,11153.0
79,경남,2020,719086.0,31539.0,27649.0,3890.0,11333.0,13819.0
80,경남,2021,713172.0,31372.0,27823.0,3549.0,11248.0,10818.0
81,경북,2013,523237.0,40791.0,33029.0,7762.0,17007.0,
82,경북,2014,531956.0,35167.0,29040.0,6127.0,13586.0,21916.0
83,경북,2015,542243.0,26540.0,22845.0,3695.0,11324.0,16317.0
84,경북,2016,558489.0,30541.0,25884.0,4657.0,11301.0,17679.0
85,경북,2017,569802.0,25943.0,20921.0,5022.0,12793.0,14620.0
86,경북,2018,572474.0,26598.0,20885.0,5713.0,14282.0,13710.0
87,경북,2019,575094.0,29783.0,25395.0,4388.0,10675.0,15483.0
88,경북,2020,574014.0,25487.0,21541.0,3946.0,8256.0,10519.0
89,경북,2021,573885.0,25095.0,20906.0,4189.0,10092.0,9642.0
90,광주,2013,261547.0,22563.0,20345.0,2218.0,9162.0,
91,광주,2014,266616.0,20721.0,17975.0,2746.0,7612.0,9827.0
92,광주,2015,268835.0,19446.0,17378.0,2068.0,7554.0,8941.0
93,광주,2016,280642.0,23775.0,21610.0,2165.0,9030.0,6310.0
94,광주,2017,295886.0,25313.0,22939.0,2374.0,8076.0,8542.0
95,광주,2018,300902.0,22441.0,20383.0,2058.0,6811.0,6527.0
96,광주,2019,314669.0,18426.0,16090.0,2336.0,5557.0,7046.0
97,광주,2020,317575.0,19046.0,17443.0,1603.0,5419.0,4797.0
98,광주,2021,315554.0,14853.0,13633.0,1220.0,5844.0,4699.0
99,대구,2013,384883.0,29529.0,25258.0,4271.0,12674.0,
