"시도별","지출내역별",1995,1995,1996,1996,1996,1997,1997,1997,1998,1998,1998,1999,1999,1999,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022 p),2022 p),2022 p)
"시도별","지출내역별",명목,실질,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도,명목,실질,실질기여도
"전국","지역내총생산에대한지출",445101282,687869000,493687988,737008292,7.14,545131814,782317355,6.15,541141920,746180147,-4.62,594682809,832948475,11.63,655879090,906476368,8.83,710997900,954266932,5.27,786394903,1020790393,6.97,843322858,1058162561,3.66,914889562,1106646717,4.58,958976213,1157478093,4.59,1011291960,1220355850,5.43,1093215642,1290847174,5.78,1159499299,1325847750,2.71,1207708628,1338962852,0.99,1327443926,1432683907,7.00,1393306281,1484628137,3.63,1445391103,1519358867,2.34,1505238577,1566633412,3.11,1566088413,1615774616,3.14,1660844316,1660844316,2.79,1743574724,1709742565,2.94,1840348850,1762932983,3.11,1902527946,1814075680,2.90,1927421209,1854370144,2.22,1944644393,1842426414,-0.64,2083794973,1922065762,4.32,2165717327,1972396056,2.62
"전국","최종소비지출",275471950,518914072,315446105,559746107,4.87,347546134,582896699,2.64,334086397,526509713,-6.17,378479239,582796080,6.60,428799435,629605061,5.11,477908257,670602857,4.26,534203761,724404145,5.39,557174612,732003615,0.71,584857066,742335878,0.93,626614548,775751263,2.88,671367228,814723906,3.28,721246411,855995025,3.36,771127199,876476507,1.58,802843720,891042925,1.11,856486974,932397085,3.09,911032316,957172400,1.71,948865444,979368014,1.52,980513982,1006713986,1.83,1017520554,1029976020,1.51,1054716619,1054716619,1.56,1099381891,1085985141,1.88,1155675101,1119683310,1.96,1214111774,1161195725,2.33,1261684216,1200080613,2.14,1247627191,1172757075,-1.49,1332299907,1222580515,2.73,1443218629,1273648885,2.67
"전국","총자본형성",169035800,272047319,190869078,301599338,4.13,202000336,300505425,-0.14,154795792,220328112,-9.89,183136492,268284723,6.23,216262239,314887747,5.35,225151594,317788537,0.30,245753769,341591484,2.37,271245723,358383440,1.54,292307847,370029162,1.05,309765167,379304241,0.80,331660741,402096828,1.94,360145650,425445171,1.90,387465347,425853453,0.03,361192363,384647718,-3.23,428985408,447276107,4.87,458788228,462387924,1.09,450438869,453122928,-0.66,448034225,448534492,-0.32,465584205,464253878,1.04,490770543,490770543,1.70,526000837,522161634,1.89,594148208,577534797,3.20,603423433,574836969,-0.15,608439576,565806907,-0.50,622854849,574350349,0.48,671768316,587276545,0.72,721682121,594012176,0.37
"전국","재화와 서비스 순이출",-4437695,-43298636,-14971197,-51137121,-1.14,-4509397,-38759802,3.96,56815201,9098371,11.13,32050100,-3047621,-2.27,11619701,-8791329,-0.46,9556601,-7184847,0.50,9357801,-11454765,-0.46,13574399,-6278038,1.05,31731396,11479355,2.98,21459803,12271602,0.32,6043297,12050937,0.15,9914200,19166257,0.48,-2684502,41119046,1.65,51071600,77919286,3.08,37137292,64821331,-1.28,15405392,77477939,0.83,39311890,98368197,1.74,69518494,115144858,1.22,78902887,122989268,0.48,113518590,113518590,-0.79,115961891,99418192,-0.85,87149694,63285888,-1.97,84236378,81218454,1.01,53781694,96210914,0.81,71518392,104564738,0.47,73951064,122105980,0.73,153908,126042573,0.08
"전국","통계상 불일치",5031227,595504,2344002,-4887055,-0.71,94741,-7755206,-0.32,-4555470,-4986996,0.30,1016978,3125049,1.07,-802285,-6441640,-1.17,-1618552,-4791723,0.21,-2920428,-8194495,-0.34,1328124,-4598420,0.37,5993253,-8839467,-0.37,1136695,-2930584,0.59,2220694,-2514806,0.06,1909381,-2417853,0.03,3591255,-9612700,-0.55,-7399055,-9185661,0.04,4834252,-4891908,0.33,8080345,-5425122,-0.01,6774900,-9662166,-0.26,7171876,-4436293,0.37,4080767,-3163928,0.10,1838564,1838564,0.32,2230105,2177598,0.02,3375847,830532,-0.08,756361,-4208999,-0.28,3515723,-8444757,-0.23,2643961,-10244058,-0.10,5775686,-8161071,0.14,662669,-18213554,-0.50
"서울특별시","지역내총생산에대한지출",112634087,185098581,124055701,195791851,5.78,135743918,204816198,4.61,134702509,195891236,-4.36,147306944,213043805,8.76,165112974,234450139,10.05,178594996,244418894,4.25,199442039,261328220,6.92,212213320,266033918,1.80,219391206,269197325,1.19,232177439,280676032,4.26,245598327,292392945,4.17,266598542,309525926,5.86,282065734,317128072,2.46,293694316,321873162,1.50,313281033,333249300,3.53,326415107,343756313,3.15,334324998,348568408,1.40,340711607,354319250,1.65,350258443,359661759,1.51,370167867,370167867,2.92,387364432,380679274,2.84,404079600,389584629,2.34,423742112,403605888,3.60,435927212,414092568,2.60,444544909,417638547,0.86,472040199,431678812,3.36,485747866,438537013,1.59
"서울특별시","최종소비지출",67362638,127601426,76749915,137528176,4.65,82584956,139547900,0.91,77391362,123596442,-6.95,86678831,135814638,5.68,95777282,143157449,3.18,109657570,156279864,5.32,124350610,170609962,5.63,132205150,175181499,1.67,141021695,180109679,1.75,149705618,186796056,2.39,159336966,195172735,2.89,170506090,203903161,2.90,180978308,207780064,1.22,186582364,208852899,0.33,197025714,216019756,2.18,207876770,219921289,1.14,212950943,221280992,0.39,215142818,222565970,0.37,218604352,222613682,0.01,222439033,222439033,-0.05,230719087,227646768,1.41,240243636,232370264,1.24,253018399,241681381,2.38,261370407,248178468,1.61,254713828,238639890,-2.30,268977049,246740093,1.94,288948198,255050170,1.92
"서울특별시","총자본형성",28688551,45142023,32646801,51338596,3.50,40585865,59253913,4.06,28300191,39902348,-9.76,35095350,50037187,5.34,36148141,49796864,-0.11,41546179,55378794,2.45,45894033,59442810,1.71,49536742,62876793,1.33,48744201,59520953,-1.25,57516586,74865485,5.73,57045128,73350208,-0.50,62415942,79227749,1.86,55902651,66828856,-3.66,55747222,61893662,-1.46,65137216,66636923,1.45,66278315,66539363,-0.03,65042207,65123464,-0.43,65076380,66217354,0.33,71375764,72187684,1.72,70993710,70993710,-0.34,76914326,76443963,1.47,81394018,79343834,0.75,85863889,81968071,0.67,89399640,83319679,0.33,89944612,82708455,-0.15,97857021,84150203,0.35,95962127,78420938,-1.41
